market,date,signal_trend,signal_vol,signal_overseas,signal_rsi,signal_macd,call,entry,exit,actual_move_pct,position_return_pct,correct,avg_abs_pct,magnitude_predicted,magnitude_actual,magnitude_match
kr,2016-09-02,,,,up,,상승,2032.72,2038.31,0.275,0.275,True,0.372,,,
kr,2016-09-05,,,,up,,상승,2038.31,2060.08,1.068,1.068,True,0.317,,,
kr,2016-09-06,up,down,,,,혼조,2060.08,2066.53,0.313,0.0,True,0.317,,,
kr,2016-09-07,,,,,,보합,2066.53,2061.88,-0.225,0.0,True,0.326,,,
kr,2016-09-08,,,,,,보합,2061.88,2063.73,0.09,0.0,True,0.309,,,
kr,2016-09-09,,,,,,보합,2063.73,2037.87,-1.253,0.0,False,0.289,,,
kr,2016-09-12,down,up,down,,,하락,2037.87,1991.48,-2.276,2.276,True,0.291,,,
kr,2016-09-13,down,up,up,up,,상승,1991.48,1999.36,0.396,0.396,True,0.344,,,
kr,2016-09-19,,,,up,,상승,1999.36,2015.78,0.821,0.821,True,0.454,,,
kr,2016-09-20,,,,,,보합,2015.78,2025.71,0.493,0.0,True,0.467,,,
kr,2016-09-21,,,,,,보합,2025.71,2035.99,0.507,0.0,True,0.498,,,
kr,2016-09-22,,,up,,,상승,2035.99,2049.7,0.673,0.673,True,0.494,,,
kr,2016-09-23,,,,,,보합,2049.7,2054.07,0.213,0.0,True,0.518,,,
kr,2016-09-26,,,,,,보합,2054.07,2047.11,-0.339,0.0,True,0.517,,,
kr,2016-09-27,,,,,,보합,2047.11,2062.82,0.767,0.0,True,0.509,,,
kr,2016-09-28,,,,,,보합,2062.82,2053.06,-0.473,0.0,True,0.51,,,
kr,2016-09-29,,,,,,보합,2053.06,2068.72,0.763,0.0,True,0.547,,,
kr,2016-09-30,,,,,,보합,2068.72,2043.63,-1.213,0.0,False,0.557,,,
kr,2016-10-04,down,up,,,,혼조,2043.63,2054.86,0.55,0.0,True,0.583,,,
kr,2016-10-05,,,,,,보합,2054.86,2053.0,-0.091,0.0,True,0.625,,,
kr,2016-10-06,,,,,,보합,2053.0,2065.3,0.599,0.0,True,0.64,,,
kr,2016-10-07,,,,,,보합,2065.3,2053.8,-0.557,0.0,True,0.64,,,
kr,2016-10-10,,,,,,보합,2053.8,2056.82,0.147,0.0,True,0.656,,,
kr,2016-10-11,,,,,,보합,2056.82,2031.93,-1.21,0.0,False,0.631,,,
kr,2016-10-12,down,,down,,,하락,2031.93,2033.73,0.089,-0.089,False,0.622,,,
kr,2016-10-13,,,,,,보합,2033.73,2015.44,-0.899,0.0,True,0.672,,,
kr,2016-10-14,,,,,,보합,2015.44,2022.66,0.358,0.0,True,0.671,,,
kr,2016-10-17,,,,,,보합,2022.66,2027.61,0.245,0.0,True,0.654,,,
kr,2016-10-18,,,,,,보합,2027.61,2040.43,0.632,0.0,True,0.558,,,
kr,2016-10-19,,,,,,보합,2040.43,2040.94,0.025,0.0,True,0.55,,,
kr,2016-10-20,,,,,,보합,2040.94,2040.6,-0.017,0.0,True,0.541,,,
kr,2016-10-21,,,,,,보합,2040.6,2033.0,-0.372,0.0,True,0.518,,,
kr,2016-10-24,,,,,,보합,2033.0,2047.74,0.725,0.0,True,0.493,,,
kr,2016-10-25,,,,,,보합,2047.74,2037.17,-0.516,0.0,True,0.478,,,
kr,2016-10-26,,,,,,보합,2037.17,2013.89,-1.143,0.0,False,0.504,,,
kr,2016-10-27,down,up,,,,혼조,2013.89,2024.12,0.508,0.0,True,0.512,,,
kr,2016-10-28,,,,,,보합,2024.12,2019.42,-0.232,0.0,True,0.531,,,
kr,2016-10-31,,,,,,보합,2019.42,2008.19,-0.556,0.0,True,0.533,,,
kr,2016-11-01,,,,,,보합,2008.19,2007.39,-0.04,0.0,True,0.506,,,
kr,2016-11-02,,,,,,보합,2007.39,1978.94,-1.417,0.0,False,0.474,,,
kr,2016-11-03,down,up,,,,혼조,1978.94,1983.8,0.246,0.0,True,0.448,,,
kr,2016-11-04,,,,,,보합,1983.8,1982.02,-0.09,0.0,True,0.514,,,
kr,2016-11-07,,,,,,보합,1982.02,1997.58,0.785,0.0,True,0.497,,,
kr,2016-11-08,,,up,,,상승,1997.58,2003.38,0.29,0.29,True,0.473,,,
kr,2016-11-09,,,,,,보합,2003.38,1958.38,-2.246,0.0,False,0.505,,,
kr,2016-11-10,down,up,up,,,상승,1958.38,2002.6,2.258,2.258,True,0.459,,,
kr,2016-11-11,up,down,,,,혼조,2002.6,1984.43,-0.907,0.0,True,0.567,,,
kr,2016-11-14,,,,,,보합,1984.43,1974.4,-0.505,0.0,True,0.635,,,
kr,2016-11-15,,,,,,보합,1974.4,1967.53,-0.348,0.0,True,0.663,,,
kr,2016-11-16,,,,,,보합,1967.53,1979.65,0.616,0.0,True,0.676,,,
kr,2016-11-17,,,,,,보합,1979.65,1980.55,0.045,0.0,True,0.661,,,
kr,2016-11-18,,,,,,보합,1980.55,1974.58,-0.301,0.0,True,0.691,,,
kr,2016-11-21,,,,,,보합,1974.58,1966.05,-0.432,0.0,True,0.692,,,
kr,2016-11-22,,,,,,보합,1966.05,1983.47,0.886,0.0,True,0.689,,,
kr,2016-11-23,,,,,,보합,1983.47,1987.95,0.226,0.0,True,0.674,,,
kr,2016-11-24,,,,,,보합,1987.95,1971.26,-0.84,0.0,True,0.693,,,
kr,2016-11-25,,,,,,보합,1971.26,1974.46,0.162,0.0,True,0.647,,,
kr,2016-11-28,,,,,,보합,1974.46,1978.13,0.186,0.0,True,0.663,,,
